GenArtNo;genart_en
1128;Sports Muffler
1129;Valve, exhaust gas recirculation
1131;Door Open Warning Light
1132;Engine Bay Light
1134;Pressure Converter, exhaust control
1136;Valve, secondary air intake suction
1137;EGR Valve, exhaust control
1145;EGR Valve
1146;Secondary Air Valve
1147;Spider Assembly, drive shaft
1149;Auxiliary Air Slide
1150;Speedometer Cable
1151;Carburettor Damper
1152;Dashpot, carburettor
1153;Holder, fuel line
1156;Air Filter, compressor (intake air)
1158;Gasket Set, brake fluid reservoir
1159;Steering Knuckle, wheel suspension
1162;Sheet, brake caliper piston
1164;Accessory Kit, disc brake pad
1165;Guide Sleeve Kit, brake caliper
1166;Mounting, steering gear
1167;Charcoal Filter Valve
1168;Holder, tail light
1169;Electric Motor, rotating beacon
1170;Reflector, rotating beacon
1171;Holder, rotating beacon
1172;Bulb, clearance/end outline marker light
1173;Park Light
1174;Lens, position light
1175;Lens, end outline marker light
1176;Electric Motor, headlight cleaning
1177;Logbook
1180;Suspension Strut Support Mount
1182;Rubber Buffer, suspension
1184;Spring Mounting
1185;Suspension Kit, shock absorber
1186;Sensor, exterior temperature
1187;Relay, intake manifold heating
1188;Control, cruise control system
1189;Sensor, speed
1190;Sensor, speed/RPM
1191;Windscreen
1192;Rear Window
1193;Door Window
1194;Side Window
1195;Holder, washer-fluid pipe
1196;Headlight Cleaning System
1197;Sensor, odometer
1198;Licence Plate Light, trailer hitch
1199;Bumper Mounting Bracket, trailer hitch
1200;Roof Rack Bar
1201;Roof Rack Foot
1202;Stud Bolt Set, roof rack
1203;Adapter, rear rack
1204;Strap, ski rack
1205;Wheel Holder, bike rack
1207;Gas Spring, convertible roof
1208;Conversion Kit, air conditioning
1210;Position Detection System
1211;Steering Column
1212;Relay, park distance control
1213;Repair Kit, inner tie rod
1214;Control Valve, fuel pressure
1216;Tappet
1217;Cylinder Head Bolt Set
1218;Switch Unit, ignition system
1219;Control Unit, braking system
1220;Nut
1221;Spring Washer
1222;Washer
1224;Pressure Accumulator, drive dynamics control
1226;Clamping Sleeve, wheel speed sensor
1231;Sensor, compressed-air system
1232;Overvoltage Protector, alternator
1235;Mounting Kit, ignition control unit
