GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
9093;Shim, flywheel;Washer;Clutch;Flywheel;0
9094;Turning Tool Set, turning machine;Turning Tool Set;Tool, universal;Turning Machine;0
9095;Assortment, feather keys;Assortment;Standard Parts;NULL;0
9096;Refill Set, stapler;Refill Set;Standard Parts;Stapler;0
9097;Assortment, tension/compression springs;Assortment;Standard Parts;NULL;0
9098;Roller, workshop stool;Pulley;Workshop Equipment;Workshop Stool;0
9099;Sensor, leak-finding device (air conditioning);Probe;Workshop Equipment;Air Conditioning;0
9100;Cable Repair Set, hydraulic pump (steering);Cable Repair Set;Steering;Hydraulic Pump (steering);0
9101;Replacement Tip, centre punch;Replacement Tip;Tool, universal;Centre Punch;0
9102;Replacement Tip, sandblasting gun;Replacement Tip;Tool, universal;Sandblasting Gun;0
9103;Assortment, push-in eyelets;Assortment;Standard Parts;Eyelet Pliers;0
9104;Assortment, crocodile clips;Assortment;Standard Parts;NULL;0
9105;Cable Repair Kit, air quality sensor;Cable Repair Set;Air Conditioning;Air Quality Sensor;0
9106;Socket Wrench Set, transmission flange;Socket Wrench Set;Tool, vehicle specific;Gearbox Flange;0
9107;Cable Repair Set, siren (alarm system);Cable Repair Set;Lock System;Siren (alarm system);0
9108;Cable Repair Kit, air quality sensor;Cable Repair Set;Air Conditioning, universal;Air Quality Sensor;0
9109;Cable Repair Set, siren (alarm system);Cable Repair Set;Lock System, universal;NULL;0
9110;Cable Repair Set, contact switch (bonnet);Cable Repair Set;Body;Contact switch (bonnet);0
9111;Cable Repair Set, contact switch (bonnet);Cable Repair Set;Body Parts, universal;Contact switch (bonnet);0
9112;Window Cutting Cord, windscreen removal;Windscreen Removal Cord;Tool, universal;Glass removal;0
9113;Cable Repair Set, longitudinal/lateral acceleration sensor;Cable Repair Set;Drive Dynamics Control;Longitudinal/Lateral Acceleration Sensor;0
9114;Cable Repair Set, longitudinal/lateral acceleration sensor;Cable Repair Set;Drive Dynamics Control, universal;Longitudinal/Lateral Acceleration Sensor;0
9115;Roller, mobile jack;Pulley;Tool, universal;Mobile Jack;0
9116;Assortment, eye set;Assortment;Standard Parts;Eyelet Pliers;0
9117;Cable Repair Kit, coolant control valve;Cable Repair Set;Heating/Ventilation;Coolant Control Valve;0
9118;Cable Repair Kit, coolant control valve;Cable Repair Set;Heating/Ventilation, universal;Coolant Control Valve;0
9119;Cable Repair Set, hydraulic pump (steering);Cable Repair Set;Steering, universal;Hydraulic Pump (steering);0
9120;Cable Repair Set, steering;Cable Repair Set;Steering;Steering;0
9121;Cable Repair Set, steering;Cable Repair Set;Steering, universal;Steering;0
9122;Pull-Through Wire;Pull-Through Wire;Special Tools, universal;NULL;0
9123;Dies Set;Dies Set;Tool, universal;NULL;0
9124;Lever, control arm;Lever;Tool, universal;Control Arm;0
9125;Mounting Tool Set, crankshaft seal/pilot bearing;Mounting Tool Set;Tool, vehicle specific;Crankshaft Seal/Pilot Bearing;0
9126;Mounting Tool, radial seal;Mounting Tools;Tool, vehicle specific;Crankshaft Seal;0
9127;Mounting Tool, radial seal;Mounting Tools;Tool, universal;NULL;0
9128;Oil Syringe;Oil Syringe;Tool, universal;NULL;0
9129;Headband, safety helmet;Headband;Protective Clothing/Equipment;Safety Helmet;0
9130;Roller, transmission jack;Pulley;Workshop Equipment;Transmission Jack;0
9131;Assortment, spring washers;Assortment;Standard Parts;NULL;0
9132;Clamping and Adjusting Device, suspension strut;Clamping and Adjusting Device;Tool, vehicle specific;Suspension Strut;0
9133;Grease Marker Pens;Grease Marker Pens;Chemical Products;NULL;0
9134;Mounting Lever, transmission;Mounting Lever;Tool, vehicle specific;Transmission;0
9135;CVT Drive Belt;Belt;Belt Drive, universal;CVT;0
9136;Vernier Calliper, lift cylinder height;Vernier Caliper;Tool, vehicle specific;NULL;0
9137;Thrust Piece, wiper arm;Thrust Piece;Tool, vehicle specific;Wiper Arm;0
9138;Compartment Set, tool trolley;Storage Compartment Set;Workshop Equipment;Tool Trolley;0
9139;Bracket, alternator drive flange;Holder;Special Tools, motorcycle, universal;Alternator;0
9140;Repair Kit, wiper arm;Repair Kit;Tool, vehicle specific;Wiper Arm;0
9141;Compression Pressure Test Set;Compression Pressure Test Set;Tool, vehicle specific;Engine;0
9142;Core Drill Bit Set;Core Drill Bit Set;Tool, universal;Drill;0
9143;Tile Lifter;Tile Lifter;Building Tools;NULL;0
9144;Seal, fill/extraction pump;Gasket/Seal;Tool, universal;NULL;0
9145;Non-Heat. Appliance Socket, fill/bleeding unit (brake hydr.);Non-heating Appliance Socket;Workshop Equipment;Filling/Bleeding Unit, (brake hydraulics);0
9146;Membrane Keypad, filling/bleeding unit (brake hydraulics);Membrane Keypad;Workshop Equipment;Filling/Bleeding Unit, (brake hydraulics);0
9147;Board, filling/bleeding unit (brake hydraulics);Board;Workshop Equipment;Filling/Bleeding Unit, (brake hydraulics);0
9148;Extension Kit, mounting tool (clutch);Extension Kit;Special Tools, universal;Clutch;0
9149;Joint Socket Wrench Insert, transmission oil plug;Joint Socket Wrench Insert;Special Tools, universal;Transmission Oil;0
9150;Adjustment Plate, clamping & adjusting device (susp. strut);Adjustment Plate;Tool, vehicle specific;Clamping and Adjusting Device (suspension strut);0
9151;Puller Housing, wiper arm puller;Puller Housing;Tool, vehicle specific;Wiper Arm Puller;0
9152;Extension Kit, clamping & adjusting device (susp. strut);Extension Kit;Tool, vehicle specific;Clamping and Adjusting Device (suspension strut);0
9153;Main Body, clutch centring tool;Main Body;Special Tools, universal;Clutch;0
9154;Adapter, clutch centring tool;Adaptor;Special Tools, universal;Clutch;0
